Name,Category,Question,Correct Answer
MMLU_test,global_facts,"As of 2016, about what percentage of adults aged 18 years or older were overweight? The options are: A) 10%, B) 20%, C) 40%, D) 80%",C
MMLU_test,global_facts,"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? The options are: A) About $300, B) About $3k, C) About $8k, D) About $15k",B
MMLU_test,global_facts,"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? The options are: A) 52%, B) 62%, C) 72%, D) 82%",C
MMLU_test,global_facts,"Which of the following countries generated the most total energy from solar sources in 2019? The options are: A) China, B) United States, C) Germany, D) Japan",A
MMLU_test,global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? The options are: A) by 5 fold, B) by 10 fold, C) by 15 fold, D) by 20 fold",C
MMLU_test,global_facts,"What is the biggest cause of death in children under five years old (as of 2017)? The options are: A) Lower respiratory infections, B) Preterm birth complications, C) Diarrheal diseases, D) Malaria",A
MMLU_test,global_facts,"As of 2019, about what percentage of the global population does not have access to safe drinking water? The options are: A) 10%, B) 20%, C) 30%, D) 40%",C
MMLU_test,global_facts,"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? The options are: A) 29%, B) 49%, C) 69%, D) 89%",C
MMLU_test,global_facts,"As of 2017, what fraction of the population in Brazil used the internet in the past three months? The options are: A) 18%, B) 38%, C) 58%, D) 78%",C
MMLU_test,global_facts,"As of 2017, what fraction of the population in India used the internet in the past three months? The options are: A) 11%, B) 26%, C) 41%, D) 56%",B
MMLU_test,global_facts,"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? The options are: A) 23%, B) 38%, C) 53%, D) 68%",D
MMLU_test,global_facts,"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? The options are: A) 5%, B) 10%, C) 15%, D) 25%",B
MMLU_test,global_facts,"As of 2020, about what percentage of the world population practices open defecation? The options are: A) 2%, B) 4%, C) 9%, D) 18%",C
MMLU_test,global_facts,"Which of the following is not an element of the redistribution-with-growth policy approach? The options are: A) minimum wage legislation, B) land reform, C) progressive taxation, D) increased access to education",A
MMLU_test,global_facts,"About what percentage of the global population was literate in 1950? The options are: A) 36%, B) 56%, C) 76%, D) 96%",B
MMLU_test,global_facts,"As of 2016, about what percentage of adults aged 18 years or older were obese? The options are: A) 6%, B) 13%, C) 27%, D) 46%",B
MMLU_test,global_facts,"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? The options are: A) 34%, B) 49%, C) 64%, D) 79%",A
MMLU_test,global_facts,"As of 2017, what percentage of Americans live in urban areas? The options are: A) 62%, B) 72%, C) 82%, D) 92%",C
MMLU_test,global_facts,"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? The options are: A) About $3k, B) About $8k, C) About $15k, D) About $30k",C
MMLU_test,global_facts,"In 2016, about how many people in the United States were homeless? The options are: A) 55,000, B) 550,000, C) 5,500,000, D) 55,000,000",B
MMLU_test,global_facts,"In 1965 how many Americans thought that sending troops to Vietnam was a mistake? The options are: A) 25%, B) 45%, C) 65%, D) 85%",A
MMLU_test,global_facts,"As of 2013, share of people in the Ethiopia who think political parties are corrupt is The options are: A) 24%, B) 44%, C) 64%, D) 84%",A
MMLU_test,global_facts,"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately The options are: A) 25%, B) 40%, C) 55%, D) 75%",D
MMLU_test,global_facts,"As of 2015, agriculture made up about what percentage of total Indian GDP? The options are: A) 8%, B) 16%, C) 32%, D) 64%",B
MMLU_test,global_facts,"Which of the following is true as of 2020? The options are: A) males are more likely to have depression and are more likely to have an alcohol use disorder than females., B) females are more likely to have depression and are more likely to have an alcohol use disorder than males., C) males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder., D) females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.",D
MMLU_test,global_facts,"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society? The options are: A) 37%, B) 47%, C) 57%, D) 67%",D
MMLU_test,global_facts,"As of 2017, the share of GDP spent on the military by Saudi Arabia is about The options are: A) 1%, B) 3%, C) 6%, D) 10%",D
MMLU_test,global_facts,"As of 2019, about what share of electricity came from fossil fuels in the United States? The options are: A) 23%, B) 43%, C) 63%, D) 83%",C
MMLU_test,global_facts,"What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015? The options are: A) 10%, B) 30%, C) 50%, D) 70%",D
MMLU_test,global_facts,"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making? The options are: A) 26%, B) 41%, C) 56%, D) 71%",C
MMLU_test,global_facts,"In 2018, about how many chickens were killed for meat production? The options are: A) 690 million, B) 6.9 billion, C) 69 billion, D) 690 billion",C
MMLU_test,global_facts,"In 2016, what percentage of the population of South Sudan had access to electricity? The options are: A) 9%, B) 29%, C) 59%, D) 79%",A
MMLU_test,global_facts,"About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? The options are: A) 31%, B) 51%, C) 71%, D) 91%",B
MMLU_test,global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China? The options are: A) by 4 fold, B) by 8 fold, C) by 16 fold, D) by 32 fold",C
MMLU_test,global_facts,"Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote. The options are: A) 1, B) 7, C) 13, D) 19",D
MMLU_test,global_facts,"As of 2019, about what percentage of Turks say God plays an important role in their life? The options are: A) 59%, B) 69%, C) 79%, D) 89%",D
MMLU_test,global_facts,"Which of the following was responsible for the most death in the 20th century? The options are: A) Earthquakes, B) Volcanic activity, C) Wildfires, D) Floods",D
MMLU_test,global_facts,"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015? The options are: A) 15%, B) 35%, C) 55%, D) 75%",B
MMLU_test,global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea? The options are: A) by 4 fold, B) by 8 fold, C) by 16 fold, D) by 32 fold",D
