Question,Correct Answer,Name,Category
"If you follow these instructions, do you return to the starting point? Always face forward. Take 1 step backward. Take 9 steps left. Take 2 steps backward. Take 6 steps forward. Take 4 steps forward. Take 4 steps backward. Take 3 steps right.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 10 steps left. Take 10 steps forward. Take 7 steps forward. Take 2 steps forward.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Take 1 step. Take 10 steps. Take 4 steps. Take 1 step. Take 10 steps. Turn right. Turn around.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 1 step right. Take 3 steps left. Take 2 steps right.
Options:
- Yes
- No",Yes,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 10 steps backward. Take 7 steps backward. Take 8 steps right. Take 6 steps right. Take 3 steps left.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Take 8 steps. Turn around. Take 8 steps.
Options:
- Yes
- No",Yes,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 6 steps right. Take 1 step forward. Take 10 steps left. Take 8 steps forward. Take 9 steps backward. Take 4 steps right.
Options:
- Yes
- No",Yes,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 6 steps forward. Take 7 steps backward. Take 7 steps backward. Take 8 steps forward.
Options:
- Yes
- No",Yes,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Take 5 steps. Take 4 steps. Take 3 steps.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 8 steps backward. Take 9 steps forward. Take 4 steps forward. Take 2 steps left. Take 4 steps forward. Take 6 steps forward. Take 10 steps backward. Take 8 steps right. Take 1 step left.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Take 8 steps. Take 5 steps. Take 5 steps. Take 10 steps. Take 5 steps.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Take 3 steps. Take 6 steps. Take 8 steps. Take 5 steps. Take 6 steps. Take 2 steps. Take 1 step. Take 2 steps.
Options:
- Yes
- No",No,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Take 3 steps. Turn around. Take 3 steps. Turn right.
Options:
- Yes
- No",Yes,BigBench_hard,navigate
"If you follow these instructions, do you return to the starting point? Always face forward. Take 5 steps backward. Take 2 steps left. Take 5 steps right. Take 3 steps left. Take 5 steps backward. Take 10 steps forward.
Options:
- Yes
- No",Yes,BigBench_hard,navigate
